customer_id,birth_date,gender,city,country,profession,segment_hint,annual_income,age,gender_F,gender_M,gender_nan,segment_nan,cluster
06722458,1980-01-16,M,,,,,0,45.98220396988364,False,True,False,True,4
43203314,1952-01-29,F,,,,,0,73.94661190965093,True,False,False,True,3
73814521,1963-03-12,F,,,,,0,62.83093771389459,True,False,False,True,5
82265827,1953-05-09,F,,,,,0,72.67077344284736,True,False,False,True,3
39973809,1958-03-07,M,,,,,0,67.84394250513347,False,True,False,True,0
91649165,1989-04-20,M,,,,,0,36.72279260780287,False,True,False,True,4
58799675,1988-11-14,F,,,,,0,37.152635181382614,True,False,False,True,1
50049341,1993-10-13,M,,,,,0,32.24093086926762,False,True,False,True,4
68065431,1966-10-12,M,,,,,0,59.24435318275154,False,True,False,True,0
79851812,1967-02-09,F,,,,,0,58.91581108829569,True,False,False,True,5
"63765861,Mataluni,Michelangelo,M,1963-04-04,Macerata Campania,CE,IT,MTLMHL63D04E784X,OO00,""Amministrazione pubblica e difesa, assicurazione sociale obbligatoria"",IMP,CONF,SB",,,,,,,0,54.299794661190965,False,False,True,True,2
13106887,2005-06-17,F,,,,,0,20.56399726214921,True,False,False,True,1
57435606,1987-06-29,F,,,,,0,38.53251197809719,True,False,False,True,1
88048249,1951-11-07,F,,,,,0,74.17385352498289,True,False,False,True,3
56542245,1948-11-06,F,,,,,0,77.17453798767967,True,False,False,True,3
"52177394,Krasniqi,Blendi,M,1986-11-04,Kosovo,EE,EE,KRSBND86S04Z160D,MM00,""Attività professionali, scientifiche e tecniche"",OPE,CONF,MM",,,,,,,0,54.299794661190965,False,False,True,True,2
"40186636,Testa,Arthur,M,1999-07-24,Collegno,TO,IT,TSTRHR99L24C860O,GG00,""Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli"",IND,CLNB,SB",,,,,,,0,54.299794661190965,False,False,True,True,2
"48179833,Agosti,Leyla,F,1978-05-18,Bressanone,BZ,IT,GSTLYL78E58B160D,MM00,""Attività professionali, scientifiche e tecniche"",IMP,SPDV,MM",,,,,,,0,54.299794661190965,False,False,True,True,2
32567139,1985-02-25,F,,,,,0,40.87063655030801,True,False,False,True,1
54928155,1960-12-29,M,,,,,0,65.02943189596166,False,True,False,True,0
53715466,1998-12-27,M,,,,,0,27.0362765229295,False,True,False,True,4
"93631166,Barbetta,Maria,F,1990-06-06,Conselve,PD,IT,BRBMRA90H46C964C,CC10,""Industrie alimentari, delle bevande e del tabacco"",ALT,CONI,MM",,,,,,,0,54.299794661190965,False,False,True,True,2
32101170,1978-06-25,M,,,,,0,47.54277891854894,False,True,False,True,4
20887437,1994-09-05,F,,,,,0,31.345653661875428,True,False,False,True,1
"69429631,Lipari,Derek,M,1990-04-28,Montorio al Vomano,TE,IT,LPRDRK90D28F690X,RR00,""Attività artistiche, di intrattenimento e divertimento"",OPE,CONF,MM",,,,,,,0,54.299794661190965,False,False,True,True,2
75897855,1982-12-08,F,,,,,0,43.08829568788501,True,False,False,True,5
88788782,1976-08-16,M,,,,,0,49.399041752224505,False,True,False,True,4
65887455,1986-10-11,M,,,,,0,39.24709103353867,False,True,False,True,4
63146335,1949-08-29,F,,,,,0,76.36413415468857,True,False,False,True,3
18979285,1972-05-09,M,,,,,0,53.67008898015058,False,True,False,True,0
71047999,1945-09-12,F,,,,,0,80.32580424366871,True,False,False,True,3
98334821,1946-03-28,M,,,,,0,79.78644763860369,False,True,False,True,0
48058361,1960-01-12,M,,,,,0,65.99315537303217,False,True,False,True,0
16614360,2001-05-27,M,,,,,0,24.621492128678987,False,True,False,True,4
96346903,1956-01-01,M,,,,,0,70.02327173169063,False,True,False,True,0
58153220,1983-09-30,F,,,,,0,42.27789185489391,True,False,False,True,5
17753678,1947-02-11,M,,,,,0,78.91033538672143,False,True,False,True,0
16345345,1957-02-21,F,,,,,0,68.88158795345653,True,False,False,True,3
"91467433,De Gennaro,Stefano,M,1982-06-28,Cavallino-Treporti,VE,IT,DGNSFN82H28M308S,CC24,""Attività metallurgiche e fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature"",IMP,CONI,MM",,,,,,,0,54.299794661190965,False,False,True,True,2
"51631219,Zanon,Alysia,F,1962-07-27,Pozzonovo,PD,IT,ZNNLYS62L67G963L,OO00,""Amministrazione pubblica e difesa, assicurazione sociale obbligatoria"",IND,GESF,MM",,,,,,,0,54.299794661190965,False,False,True,True,2
38920339,1958-11-02,M,,,,,0,67.18685831622176,False,True,False,True,0
55593976,1944-08-24,F,,,,,0,81.37713894592744,True,False,False,True,3
70241190,1953-08-23,F,,,,,0,72.38056125941137,True,False,False,True,3
48872106,1953-10-26,M,,,,,0,72.20533880903491,False,True,False,True,0
75023827,1969-11-14,F,,,,,0,56.153319644079396,True,False,False,True,5
98494020,1970-10-01,M,,,,,0,55.27446954140999,False,True,False,True,0
11801994,1964-10-13,F,,,,,0,61.24024640657084,True,False,False,True,5
28455757,1974-05-08,F,,,,,0,51.67419575633128,True,False,False,True,5
38032812,1979-08-23,F,,,,,0,46.38193018480493,True,False,False,True,5
"21516048,Codina,Gabriele,M,1982-11-20,Turi,BA,IT,CDNGRL82S20L472R,RR00,""Attività artistiche, di intrattenimento e divertimento"",IMP,GESF,SB",,,,,,,0,54.299794661190965,False,False,True,True,2
37121263,1959-06-06,F,,,,,0,66.59548254620123,True,False,False,True,3
28028560,1970-01-16,F,,,,,0,55.98083504449008,True,False,False,True,5
57574087,2006-03-01,F,,,,,0,19.860369609856264,True,False,False,True,1
81480769,1968-09-25,M,,,,,0,57.28952772073922,False,True,False,True,0
33799418,1963-01-30,M,,,,,0,62.94318959616701,False,True,False,True,0
82908015,1994-07-01,M,,,,,0,31.526351813826146,False,True,False,True,4
15590501,1963-12-18,M,,,,,0,62.06160164271047,False,True,False,True,0
55770803,1968-04-12,M,,,,,0,57.74401095140315,False,True,False,True,0
69050900,1970-02-14,F,,,,,0,55.90143737166324,True,False,False,True,5
